46531,1465,4G,2:0:0,4G,0-2:0:0,3.52,1,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46535,2930,4G,2:0:0,4G,0-2:0:0,6.38,2,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46534,4395,4G,2:0:0,4G,0-2:0:0,9.24,4,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46533,5860,4G,2:0:0,4G,0-2:0:0,12.10,5,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46532,7325,4G,2:0:0,4G,0-2:0:0,14.96,7,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46571,0,2G,2:0:0,2G,0-2:0:0,10.93,1,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46572,0,2G,2:0:0,2G,0-2:0:0,13.23,1,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46573,0,2G,2:0:0,2G,0-2:0:0,16.66,2,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46881,4395,2G,2:0:0,15M,0-0:9:0,0,0,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none,slurm-%j.out slurm-Qzipzr0t.sh slurm-%j.err,1,compute-dev04,slurm-46881.err,Sat Jan 28 12:54:10 EST 2023,"/home/ld32/smartSlurm/bin/ssbatch --comment=SSBATCH_I=bigText3.txt SSBATCH_S=useSomeMemTimeAccordingInputSize.sh -A rccg -p priority job1.sh run"
46988,1465,2G,50:0,9M,0-0:6:0,3.56,1,COMPLETED,ld32,/home/ld32/projects/testPipe,useSomeMemTimeAccordingInputSize.sh,none,2.0.useSomeMemTimeAccordingInputSize.sh.1,1,compute-dev05,/home/ld32/projects/testPipe/logs/2.0.useSomeMemTimeAccordingInputSize.sh.1.err,Fri Mar 10 20:08:04 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S useSomeMemTimeAccordingInputSize.sh -R none -F 2.0.useSomeMemTimeAccordingInputSize.sh.1 -I ,bigText1.txt -D null -A rccg -p short -c 1 --mem 2G -t 50:0 -A rccg --wrap set -e; useSomeMemTimeAccordingInputSize.sh bigText1.txt; grep 5678 bigText1.txt > 5678.1.txt run"
46989,1465,2G,10:0,9M,0-0:6:0,3.57,1,Unknown,ld32,/home/ld32/projects/testPipe,useSomeMemTimeAccordingInputSize.sh,none,3.1.2.useSomeMemTimeAccordingInputSize.sh,1,compute-dev05,/home/ld32/projects/testPipe/logs/3.1.2.useSomeMemTimeAccordingInputSize.sh.err,Fri Mar 10 20:09:32 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S useSomeMemTimeAccordingInputSize.sh -R none -F 3.1.2.useSomeMemTimeAccordingInputSize.sh -I ,bigText1.txt -D .46987.46988 -A rccg -A rccg -p short -t 10:0 -c 1 --wrap set -e; useSomeMemTimeAccordingInputSize.sh bigText1.txt; cat 1234.1.txt 5678.1.txt > all.txt run"
46991,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:27:43 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
46990,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:27:43 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
46992,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 20:28:20 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 46991 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
46993,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:31:02 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
46994,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:31:04 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
46996,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:39:40 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
46997,1634125,8G,12:0:0,8G,0-12:0:0,0,1,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:39:43 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47001,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:52:36 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47004,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:52:53 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47005,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:52:56 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47006,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 20:53:23 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47005 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
